127.0.0.1 - - [28/Sep/2020:08:57:03 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:28 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "POST /atcrowdfunding02-admin-webui/security/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/login/page.html?error HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:30 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "POST /atcrowdfunding02-admin-webui/security/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/login/page.html?error HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:32 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "POST /atcrowdfunding02-admin-webui/security/do/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/admin/to/login/page.html?error HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21963
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/css/login.css HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:33 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Sep/2020:08:57:34 +0800] "GET /atcrowdfunding02-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
